rider_id,first_name,last_name,phone_number,gender,is_active,account_created_date,last_update_dt,geo_city
1001,Ahmed,Al-Farsi,+966501111111,M,True,2024-03-15,2026-01-10 08:00:00,DHR
1001,Ahmed,Al-Farsi,+966501111111,M,True,2024-03-15,2026-02-15 10:30:00,DHR
1001,Ahmed,Al-Farsi,+966509999999,M,True,2024-03-15,2026-03-20 10:30:00,DHR
1002,Sara,Mohammed,+966502222222,F,True,2024-05-20,2026-01-05 09:00:00,DHR
1002,Sara,Mohammed,+966502222222,F,False,2024-05-20,2026-03-18 14:22:00,DHR
1003,Omar,Hassan,+966503333333,M,True,2024-07-01,2026-02-15 09:10:00,DHR
1004,Fatima,Al-Rashid,+966504444444,F,True,2024-08-10,2026-01-20 11:00:00,RYD
1004,Fatima,Al-Rashid,+966504444444,F,True,2024-08-10,2026-02-25 16:45:00,RYD
1004,Fatima,Al-Rashid,+966504444444,F,True,2024-08-10,2026-03-25 16:45:00,RYD
1005,Khalid,Ibrahim,+966505555555,M,True,2024-01-05,2026-01-10 08:00:00,RYD
1005,Khalid,Ibrahim,+966505555555,M,False,2024-01-05,2026-03-10 08:00:00,RYD
1006,Noura,Al-Salem,+966506666666,F,True,2024-11-12,2026-03-28 11:30:00,DHR
